rank,lemma,pos,total_count,doc_frequency,is_stopword,is_proper_noun
16774,homosexual,ADJ,2,2,0,0
16775,Todd,PROPN,2,2,0,1
16776,sequence,NOUN,2,2,0,0
16777,nick,NOUN,2,2,0,0
16778,blacker,NOUN,2,2,0,0
16779,wickedly,ADV,2,2,0,0
16780,queue,VERB,2,2,0,0
16781,fussy,ADJ,2,2,0,0
16782,compile,VERB,2,2,0,0
16783,fussily,ADV,2,2,0,0
16784,blacker,PROPN,2,2,0,1
16785,danse,NOUN,2,2,0,0
16786,edification,NOUN,2,2,0,0
16787,inexhaustibly,ADV,2,2,0,0
16788,hurrying,NOUN,2,2,0,0
16789,graceless,NOUN,2,2,0,0
16790,jeered,ADJ,2,2,0,0
16791,shamelessly,ADV,2,2,0,0
16792,disentangle,VERB,2,2,0,0
16793,profuse,NOUN,2,2,0,0
16794,interlace,VERB,2,2,0,0
16795,foothold,NOUN,2,2,0,0
16796,Venice,PROPN,2,2,0,1
16797,forego,VERB,2,2,0,0
16798,panting,NOUN,2,2,0,0
16799,thickness,NOUN,2,2,0,0
16800,gabbling,NOUN,2,2,0,0
16801,tapping,NOUN,2,2,0,0
16802,cluck,NOUN,2,2,0,0
16803,cluck,VERB,2,2,0,0
16804,bunch,VERB,2,2,0,0
16805,hurrah,NOUN,2,2,0,0
16806,pall,NOUN,2,2,0,0
16807,flat,ADV,2,2,0,0
16808,fang,NOUN,2,2,0,0
16809,fainting,NOUN,2,2,0,0
16810,skinning,NOUN,2,2,0,0
16811,morose,NOUN,2,2,0,0
16812,dubious,ADJ,2,2,0,0
16813,drivel,VERB,2,2,0,0
16814,symbolize,VERB,2,2,0,0
16815,gulf,NOUN,2,2,0,0
16816,remonstrance,NOUN,2,2,0,0
16817,devilishly,ADV,2,2,0,0
16818,aching,NOUN,2,2,0,0
16819,spiral,NOUN,2,2,0,0
16820,formally,ADV,2,2,0,0
16821,canter,VERB,2,2,0,0
16822,trop,X,2,2,0,0
16823,whelp,NOUN,2,2,0,0
16824,beatitude,NOUN,2,2,0,0
16825,breeder,NOUN,2,2,0,0
16826,usurp,VERB,2,2,0,0
16827,drunken,VERB,2,2,0,0
